Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,1,2025-10-21T01:06:54+00:00,5.6809079647064,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. We are interested in how related you perceive the words in each pair to be.",Initial_Instruct,Instruct1,5569,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,2,2025-10-21T01:07:01+00:00,6.6633141040802,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"Specifically, you will be asked to rate how often the words in each pair are used together. Assume 100 college students from around the nation gave responses to each CUE (first) word. How many of these 100 students do you think would have given the RESPONSE (second) word?",,Instruct13,6482,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,3,2025-10-21T01:07:08+00:00,7.5355279445648,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that DOG is not a commonly given response to the word CAT, while a score of 100 indicates that DOG would be a common response.",,Instruct14,7365,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,4,2025-10-21T01:07:21+00:00,12.779467105865,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,-,5,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, you will press Enter to advance to the next pair.",,Instruct15,12599,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,5,2025-10-21T01:07:23+00:00,1.9737977981567,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,User,-,"Before starting the study, you will complete a short practice session to get familiar with the judgment task. Press Enter when you are ready to begin.",,Instruct16,1807,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,6,2025-10-21T01:07:38+00:00,15.504334211349,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PEANUT,BUTTER,Practice,Practice,3,4,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,15304,,,13538,14303,,,,100,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,7,2025-10-21T01:07:44+00:00,5.1050019264221,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SCARE,FRIGHT,Practice,Practice,4,5,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,4910,,,3542,4141,,,,75,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,8,2025-10-21T01:07:48+00:00,4.2975358963013,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,TREES,GREEN,Practice,Practice,1,2,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,4114,,,2941,3328,,,,40,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,9,2025-10-21T01:07:52+00:00,4.0315761566162,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SPACE,JAM,Practice,Practice,5,6,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,3839,,,2680,3054,,,,40,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,10,2025-10-21T01:07:58+00:00,6.0415728092194,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PITCHER,CATCHER,Practice,Practice,2,3,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,Practice,5854,,,2969,3253,,,,80,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,11,2025-10-21T01:08:00+00:00,2.4843921661377,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct_Full_task,2320,,,-1,-1,,,,,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,12,2025-10-21T01:08:36+00:00,35.981298923492,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,STRETCH,CLOTH,Study1,U,37,19,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,35709,,,34492,34871,,,,15,0.639
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,13,2025-10-21T01:08:42+00:00,5.7385969161987,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,WORD,SENTENCE,Study1,F,112,12,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,5532,,,4667,4785,,,,50,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,14,2025-10-21T01:08:46+00:00,3.8395450115204,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,KING,VASE,Study1,U,91,69,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3670,,,2969,2969,,,,2,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,15,2025-10-21T01:08:51+00:00,5.055361032486,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,CHERRY,RED,Study1,F,125,90,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4857,,,2711,4092,,,,60,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,16,2025-10-21T01:08:55+00:00,3.5669140815735,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,HORNET,STING,Study1,F,130,63,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3380,,,2362,2594,,,,80,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,17,2025-10-21T01:08:58+00:00,3.217052936554,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,WAGE,MONEY,Study1,F,107,60,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3031,,,2060,2205,,,,60,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,18,2025-10-21T01:09:01+00:00,2.9291920661926,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PUSH,CLUTTER,Study1,U,96,38,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2754,,,1917,2016,,,,40,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,19,2025-10-21T01:09:04+00:00,3.6826200485229,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,MIRROR,CHILDREN,Study1,U,104,16,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3492,,,1931,1931,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,20,2025-10-21T01:09:08+00:00,3.854288816452,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SIGN,TICK,Study1,U,47,79,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3668,,,2878,2878,,,,4,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,21,2025-10-21T01:09:13+00:00,4.5088140964508,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,BAT,BOUNCE,Study1,M,12,7,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4326,,,2728,3640,,,,7,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,22,2025-10-21T01:09:16+00:00,3.5494999885559,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,ART,WOLF,Study1,U,93,27,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3369,,,2700,2700,,,,5,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,23,2025-10-21T01:09:20+00:00,3.3132300376892,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,FEUD,FIGHT,Study1,F,131,26,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3128,,,2274,2374,,,,70,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,24,2025-10-21T01:09:23+00:00,3.5859150886536,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PILL,BOTTLE,Study1,F,115,37,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3398,,,2578,2678,,,,70,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,25,2025-10-21T01:09:30+00:00,6.46639585495,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SOON,BELT,Study1,U,46,80,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,6297,,,2908,2908,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,26,2025-10-21T01:09:33+00:00,3.100487947464,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,MEAT,KEYS,Study1,U,41,54,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2904,,,2029,2029,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,27,2025-10-21T01:09:38+00:00,5.1158351898193,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,HYGIENE,CLEAN,Study1,F,113,18,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4922,,,3462,3919,,,,86,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,28,2025-10-21T01:09:52+00:00,14.064030885696,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,TEMPERATURE,MORNING,Study1,U,48,50,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,13889,,,13187,13187,,,,3,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,29,2025-10-21T01:09:55+00:00,3.5465309619904,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,TREE,SYRUP,Study1,M,11,36,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3357,,,2604,2604,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,30,2025-10-21T01:09:58+00:00,2.8203070163727,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,KEYS,ROD,Study1,U,45,74,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2634,,,1859,1860,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,31,2025-10-21T01:10:09+00:00,10.805542945862,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,REALITY,ISLAND,Study1,M,64,47,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,10615,,,9428,9828,,,,10,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,32,2025-10-21T01:10:14+00:00,4.4528791904449,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,DEATH,BUSINESS,Study1,U,99,10,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4265,,,3646,3646,,,,1,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,33,2025-10-21T01:10:17+00:00,3.4667539596558,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,CRY,BOTTLE,Study1,M,16,91,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3293,,,2307,2503,,,,20,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,34,2025-10-21T01:10:21+00:00,4.0320358276367,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,BENCH,HORN,Study1,U,98,89,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3846,,,3176,3176,,,,1,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,35,2025-10-21T01:10:24+00:00,3.3862781524658,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,AFFECTION,LOVE,Study1,F,116,66,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3204,,,2120,2419,,,,99,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,36,2025-10-21T01:10:44+00:00,19.85927605629,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,ROUGH,SILK,Study1,M,10,11,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,19666,,,18626,18627,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,37,2025-10-21T01:10:48+00:00,3.2105329036713,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,TUNA,FISH,Study1,F,120,28,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3026,,,2155,2316,,,,99,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,38,2025-10-21T01:10:52+00:00,4.9440739154816,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,PANTS,COLLAR,Study1,M,63,55,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4759,,,4090,4090,,,,5,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,39,2025-10-21T01:10:56+00:00,3.2563982009888,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,HARD,COTTON,Study1,M,20,65,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3068,,,2273,2273,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,40,2025-10-21T01:11:00+00:00,4.0136098861694,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SCALP,HEAD,Study1,F,108,85,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3824,,,2618,2939,,,,70,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,41,2025-10-21T01:11:07+00:00,7.0910830497742,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,DAY,DARK,Study1,M,18,21,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,6908,,,3470,5054,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,42,2025-10-21T01:11:11+00:00,4.6758759021759,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,CREDIT,CARD,Study1,F,118,33,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4494,,,3159,3676,,,,89,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,43,2025-10-21T01:11:15+00:00,3.7525131702423,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SICK,HIDE,Study1,U,100,17,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3559,,,2205,2439,,,,30,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,44,2025-10-21T01:11:18+00:00,2.9630539417267,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,BIRTHDAY,PIE,Study1,M,9,77,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2778,,,1977,2059,,,,50,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,45,2025-10-21T01:11:24+00:00,5.3860929012299,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,INCENSE,SMELL,Study1,F,128,86,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,5191,,,4256,4256,,,,5,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,46,2025-10-21T01:11:29+00:00,4.9206140041351,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,CACTUS,PLANT,Study1,F,121,41,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4722,,,2291,4137,,,,82,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,47,2025-10-21T01:11:32+00:00,3.0386819839478,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,SUGAR,RIDDLE,Study1,U,95,9,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2847,,,2031,2032,,,,0,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,48,2025-10-21T01:11:34+00:00,2.8084590435028,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,LEAGUE,BASEBALL,Study1,F,129,25,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,2612,,,1772,1853,,,,40,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,49,2025-10-21T01:11:38+00:00,4.0482590198517,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,ORCHID,FLOWER,Study1,F,119,45,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,3857,,,1993,3055,,,,90,1
66ccdd9f6b12c6ea6fa01f42,h33et22k4d,"Mediated JOLs",1,50,2025-10-21T01:11:43+00:00,4.2773289680481,1,JAM_stim.csv,JAM_proc.csv,JAM,JAM,BOTH,OUNCE,Study1,U,102,72,JAM,User,-,"How many inidividuals out of 100 would provide the second word in this pair as their immediate response to the first word? |Type your response on a scale from 0-100 and then press Enter.",Study/JOL,JAM_Rating,4085,,,3221,3221,,,,1,1
