Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20336988,wqxasw685q,"Mediated JOLs",1,1,2024-04-09T23:40:53+00:00,6.1383900642395,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,5276,,,-1,-1,,,,,1
M20336988,wqxasw685q,"Mediated JOLs",1,2,2024-04-09T23:41:05+00:00,11.977172851562,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,11450,,,-1,-1,,,,,1
M20336988,wqxasw685q,"Mediated JOLs",1,3,2024-04-09T23:41:17+00:00,11.749204158783,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11432,,,-1,-1,,,,,1
M20336988,wqxasw685q,"Mediated JOLs",1,4,2024-04-09T23:41:28+00:00,11.596415996552,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11245,,,-1,-1,,,,,1
M20336988,wqxasw685q,"Mediated JOLs",1,5,2024-04-09T23:41:31+00:00,3.0536890029907,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2630,,,-1,-1,,,,,1
M20336988,wqxasw685q,"Mediated JOLs",1,6,2024-04-09T23:42:17+00:00,45.501774787903,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DAYS,WEAKS,BUFFER3,Buffer,1,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,45374,,,43745,43745,,,,2,1
M20336988,wqxasw685q,"Mediated JOLs",1,7,2024-04-09T23:44:16+00:00,118.7912671566,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SPRING,MARCH,BUFFER3,Buffer,4,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,117968,,,95085,95897,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,8,2024-04-09T23:45:26+00:00,70.344526052475,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,MONTH,YEAR,BUFFER3,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,69727,,,67761,67955,,,,20,1
M20336988,wqxasw685q,"Mediated JOLs",1,9,2024-04-09T23:45:34+00:00,7.9649658203125,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TOOL,SHED,BUFFER3,Buffer,3,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7513,,,5352,5836,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,10,2024-04-09T23:45:40+00:00,5.4649951457977,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,OCTOBER,SPOOKY,BUFFER3,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4842,,,4500,4500,,,,2,1
M20336988,wqxasw685q,"Mediated JOLs",1,11,2024-04-09T23:46:07+00:00,27.267122983932,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,BRIDGE,WATER,Study2,F,35,28,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",27043,,,2666,25621,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,12,2024-04-09T23:46:12+00:00,4.775554895401,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,BOTH,OUNCE,Study2,U,47,22,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2886,,,1863,2341,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,13,2024-04-09T23:46:14+00:00,2.8788001537323,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,GRILL,THIGH,Study2,M,17,37,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1984,,,986,1424,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,14,2024-04-09T23:46:22+00:00,7.0730409622192,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,WASP,BUG,Study2,F,34,49,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6352,,,5439,5892,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,15,2024-04-09T23:46:25+00:00,3.3465819358826,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,SICK,HIDE,Study2,U,45,30,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2772,,,1928,2358,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,16,2024-04-09T23:46:27+00:00,2.2706000804901,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,VALLEY,PEAK,Study2,M,18,14,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2036,,,1198,1597,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,17,2024-04-09T23:46:30+00:00,2.5026028156281,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DEATH,BUSINESS,Study2,U,44,20,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2391,,,1507,1910,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,18,2024-04-09T23:46:31+00:00,1.8565411567688,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,CHISEL,HAMMER,Study2,F,23,24,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1667,,,785,1199,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,19,2024-04-09T23:46:33+00:00,1.7346980571747,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,PANTS,COLLAR,Study2,M,8,13,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1401,,,652,971,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,20,2024-04-09T23:46:35+00:00,1.7737908363342,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,TRAP,CAVE,Study2,M,15,26,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1349,,,425,859,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,21,2024-04-09T23:46:37+00:00,1.7393281459808,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,RAZOR,MUSCLE,Study2,M,20,43,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1295,,,460,879,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,22,2024-04-09T23:46:39+00:00,1.9144568443298,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,DIETARY,SACK,Study2,U,42,17,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1605,,,898,1281,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,23,2024-04-09T23:46:40+00:00,1.8313281536102,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,HORNET,STING,Study2,F,30,31,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1601,,,949,1267,,,,100,1
M20336988,wqxasw685q,"Mediated JOLs",1,24,2024-04-09T23:46:45+00:00,4.1170878410339,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,LEASE,TOIL,Study2,U,46,29,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3550,,,2347,2347,,,,0,1
M20336988,wqxasw685q,"Mediated JOLs",1,25,2024-04-09T23:46:46+00:00,1.7261021137238,4,versionB_stim.csv,JOLVersion.csv,JOL,JOL2,NURSE,LAWYER,Study2,M,11,32,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",1357,,,479,833,,,,100,1
