Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M203425855,34pxm4bwpv,"Mediated JOLs",1,1,2024-11-08T19:18:14+00:00,8.5499110221863,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,8352,,,-1,-1,,,,,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,2,2024-11-08T19:18:25+00:00,11.746025085449,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,11477,,,-1,-1,,,,,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,3,2024-11-08T19:18:38+00:00,12.520733833313,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12114,,,-1,-1,,,,,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,4,2024-11-08T19:18:52+00:00,13.809581041336,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,13363,,,-1,-1,,,,,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,5,2024-11-08T19:18:55+00:00,3.1227791309357,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2914,,,-1,-1,,,,,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,6,2024-11-08T19:19:08+00:00,13.328001976013,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,13018,,,11498,11771,,,,45,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,7,2024-11-08T19:19:21+00:00,13.000478982925,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12632,,,11198,11712,,,,75,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,8,2024-11-08T19:19:30+00:00,9.0519180297852,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8515,,,5006,5752,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,9,2024-11-08T19:19:44+00:00,14.326932907104,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,13877,,,12298,12905,,,,25,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,10,2024-11-08T19:19:49+00:00,4.4963099956512,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4192,,,3368,3804,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,11,2024-11-08T19:19:56+00:00,7.2366991043091,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,CRACKLE,ELECTION,Study1,U,39,39,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6816,,,5316,5316,,,,0,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,12,2024-11-08T19:20:10+00:00,13.674690008163,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,ROUGH,WORM,Study1,M,10,14,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",13187,,,11724,12025,,,,15,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,13,2024-11-08T19:20:29+00:00,18.958426952362,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HARD,BALL,Study1,M,20,22,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",18613,,,17104,17893,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,14,2024-11-08T19:20:35+00:00,6.4279708862305,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,BIRTHDAY,APPLE,Study1,M,9,27,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6080,,,5257,5551,,,,75,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,15,2024-11-08T19:20:40+00:00,4.7095530033112,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,MAZE,PHONE,Study1,U,42,28,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4498,,,3279,4270,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,16,2024-11-08T19:20:45+00:00,5.2327451705933,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WEDDING,HAND,Study1,M,17,31,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4632,,,3904,4409,,,,50,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,17,2024-11-08T19:20:48+00:00,3.1180830001831,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,NAP,SLEEP,Study1,F,29,46,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2789,,,1774,2561,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,18,2024-11-08T19:20:52+00:00,3.2922949790955,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,LITTER,TRASH,Study1,F,21,30,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3020,,,2051,2792,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,19,2024-11-08T19:20:56+00:00,4.5268888473511,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,LISTEN,FICTION,Study1,U,44,8,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4237,,,3058,3457,,,,85,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,20,2024-11-08T19:21:01+00:00,5.032830953598,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,HORSE,TIRE,Study1,M,14,25,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",4685,,,4187,4525,,,,25,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,21,2024-11-08T19:21:05+00:00,3.908271074295,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,WAGE,MONEY,Study1,F,22,51,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",3548,,,2317,3285,,,,100,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,22,2024-11-08T19:21:12+00:00,7.1901290416718,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,STRETCH,CLOTH,Study1,U,37,49,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",6870,,,6160,6372,,,,65,1
M203425855,34pxm4bwpv,"Mediated JOLs",1,23,2024-11-08T19:21:22+00:00,9.5291199684143,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SWAN,BIRD,Study1,F,26,42,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",9171,,,8056,8456,,,,95,1
